StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent_1,Consent_2,Consent_3,Consent_4,Consent_5,Consent_6,Consent_7,IDs_1,IDs_2,KM_Timer_First Click,KM_Timer_Last Click,KM_Timer_Page Submit,KM_Timer_Click Count,KM_P_1,KM_P_2,KM_P_3,KM_P_10,KM_P_4,KM_P_5,KM_P_6,KM_P_7,KM_P_8,KM_P_9,KM_P_11,KM_P_12,KM_P_DO,KM_CSR_1,KM_CSR_2,KM_CSR_3,KM_CSR_4,KM_CSR_DO,KM_P_1,KM_P_2,KM_P_3,KM_P_4,KM_P_DO,KM_PA_1,KM_L_1,KM_L_2,KM_L_3,KM_L_DO,PPI_5,PPI_7,PPI_8,PPRM_DO,IOS_Pre,SEP_Pre_1,SEP_Pre_2,SEP_Pre_3,SEP_Pre_DO,AttCheck,AttCheck_DO,PrevExp,FL_6_DO,"++KAMMUSTwoZickfeldetal.,2019_DO"
11/28/2022 17:04,11/28/2022 17:10,0,129.215.52.167,100,344,1,11/28/2022 17:10,R_T1UhzT1o7vMEKd3,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2111,1221,0,0,186.568,0,1,1,4,1,6,6,4,1,1,6,3,5,KM_P_3|KM_P_6|KM_P_10|KM_P_8|KM_P_2|KM_P_9|KM_P_7|KM_P_5|KM_P_4|KM_P_1|KM_P_11|KM_P_12,5,5,7,6,1|2|3|4,2,1,6,1,4|3|1|2,5,5,7,4,2|3|1,5,5,5,PPI_8|PPI_5|PPI_7,2,6,6,2,3|1|2,3,7|4|9|5|3|2|6,2,"IOS|PPRMotive(adaptedReisetal.,2018)|SEPshortadapted Lewandowski&Ackerman,2006",KM_P|KM_P|KM_CSR|KM_PA|KM_L
11/28/2022 17:04,11/28/2022 17:11,0,129.215.52.229,100,432,1,11/28/2022 17:11,R_2tJY1IPBal7zMSY,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2111,1222,0,0,193.026,0,2,2,3,1,2,2,2,1,1,6,4,2,KM_P_8|KM_P_5|KM_P_4|KM_P_7|KM_P_6|KM_P_2|KM_P_11|KM_P_9|KM_P_1|KM_P_12|KM_P_10|KM_P_3,2,2,2,1,1|4|3|2,2,5,5,1,1|2|4|3,6,7,6,6,3|2|1,4,3,5,PPI_8|PPI_7|PPI_5,2,4,5,3,3|2|1,3,4|7|3|2|5|9|6,2,"PPRMotive(adaptedReisetal.,2018)|SEPshortadapted Lewandowski&Ackerman,2006|IOS",KM_CSR|KM_P|KM_P|KM_PA|KM_L
12/2/2022 17:33,12/2/2022 17:40,0,129.215.52.229,100,441,1,12/2/2022 17:40,R_1OTY4Ik1LCcjQSQ,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2117,1234,0,0,181.296,0,1,1,1,1,1,5,1,1,1,5,1,2,KM_P_8|KM_P_1|KM_P_5|KM_P_9|KM_P_4|KM_P_3|KM_P_2|KM_P_10|KM_P_7|KM_P_11|KM_P_6|KM_P_12,2,5,3,6,3|1|4|2,1,2,1,1,2|3|1|4,6,7,6,5,2|3|1,5,5,5,PPI_8|PPI_5|PPI_7,6,7,7,1,1|3|2,3,3|9|2|4|5|7|6,2,"PPRMotive(adaptedReisetal.,2018)|IOS|SEPshortadapted Lewandowski&Ackerman,2006",KM_CSR|KM_L|KM_P|KM_PA|KM_P
12/2/2022 17:33,12/2/2022 17:41,0,129.215.52.167,100,490,1,12/2/2022 17:41,R_Ug17fxOK3a7Xp4d,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2117,1233,0,0,200.013,0,4,2,2,2,6,5,4,2,3,6,5,5,KM_P_2|KM_P_11|KM_P_9|KM_P_4|KM_P_12|KM_P_10|KM_P_5|KM_P_1|KM_P_3|KM_P_8|KM_P_6|KM_P_7,6,6,6,6,4|1|3|2,6,6,5,6,3|2|1|4,7,6,6,6,3|1|2,5,5,5,PPI_5|PPI_7|PPI_8,6,6,6,1,2|3|1,3,3|9|2|4|7|5|6,1,"SEPshortadapted Lewandowski&Ackerman,2006|PPRMotive(adaptedReisetal.,2018)|IOS",KM_PA|KM_CSR|KM_P|KM_P|KM_L
12/3/2022 12:17,12/3/2022 12:24,0,129.215.52.167,100,410,1,12/3/2022 12:24,R_2QJxLx8aiKFUnPv,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2113,1225,0,0,178.869,0,1,1,6,5,5,5,5,4,5,5,5,4,KM_P_7|KM_P_2|KM_P_12|KM_P_5|KM_P_11|KM_P_6|KM_P_4|KM_P_3|KM_P_10|KM_P_8|KM_P_1|KM_P_9,5,5,5,5,2|3|1|4,5,4,5,5,4|1|2|3,5,7,6,6,1|2|3,5,5,5,PPI_5|PPI_7|PPI_8,4,6,6,1,2|3|1,3,2|3|7|4|9|5|6,1,"PPRMotive(adaptedReisetal.,2018)|SEPshortadapted Lewandowski&Ackerman,2006|IOS",KM_L|KM_P|KM_P|KM_PA|KM_CSR
12/3/2022 12:17,12/3/2022 12:26,0,129.215.52.229,100,562,1,12/3/2022 12:26,R_3ivRiwg1sbYRCco,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2113,1226,0,0,180.317,0,1,1,2,5,5,4,1,2,1,6,2,3,KM_P_10|KM_P_4|KM_P_12|KM_P_2|KM_P_5|KM_P_8|KM_P_6|KM_P_7|KM_P_1|KM_P_9|KM_P_3|KM_P_11,5,3,5,3,4|1|2|3,2,4,4,2,2|4|1|3,5,6,4,5,3|1|2,5,5,5,PPI_5|PPI_8|PPI_7,5,6,6,1,2|3|1,3,9|3|7|4|5|2|6,1,"IOS|PPRMotive(adaptedReisetal.,2018)|SEPshortadapted Lewandowski&Ackerman,2006",KM_PA|KM_P|KM_P|KM_CSR|KM_L
12/5/2022 17:03,12/5/2022 17:09,0,129.215.52.167,100,380,1,12/5/2022 17:09,R_31Eqt2XFyoR1ufQ,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2103,1206,0,0,180.865,0,3,1,3,1,1,4,3,1,1,2,1,1,KM_P_8|KM_P_7|KM_P_1|KM_P_2|KM_P_12|KM_P_10|KM_P_4|KM_P_11|KM_P_6|KM_P_3|KM_P_9|KM_P_5,1,1,2,1,2|3|4|1,1,4,1,1,1|4|2|3,3,3,2,2,3|2|1,5,5,5,PPI_7|PPI_8|PPI_5,4,7,5,1,3|2|1,3,7|3|2|5|4|9|6,1,"IOS|PPRMotive(adaptedReisetal.,2018)|SEPshortadapted Lewandowski&Ackerman,2006",KM_CSR|KM_P|KM_PA|KM_L|KM_P
12/5/2022 17:03,12/5/2022 17:10,0,129.215.52.229,100,449,1,12/5/2022 17:10,R_3NILhkMGOQeNruH,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2103,1205,0,0,180.946,0,6,2,1,1,6,4,1,1,1,6,1,5,KM_P_2|KM_P_12|KM_P_3|KM_P_11|KM_P_7|KM_P_8|KM_P_6|KM_P_1|KM_P_5|KM_P_9|KM_P_10|KM_P_4,2,5,7,1,4|2|1|3,1,1,1,1,4|2|3|1,7,7,1,1,3|2|1,5,5,5,PPI_7|PPI_8|PPI_5,1,7,7,1,3|1|2,3,3|4|2|5|9|7|6,2,"PPRMotive(adaptedReisetal.,2018)|SEPshortadapted Lewandowski&Ackerman,2006|IOS",KM_CSR|KM_PA|KM_P|KM_P|KM_L
1/20/2023 16:06,1/20/2023 16:12,0,129.215.52.12,100,408,1,1/20/2023 16:12,R_1Id4F8u0qr2QYpK,,,,,55.9335,-3.254,anonymous,EN,1,1,1,1,1,1,1,2107,1214,0,0,181.539,0,2,1,2,2,5,5,4,2,2,5,5,4,KM_P_12|KM_P_4|KM_P_11|KM_P_6|KM_P_5|KM_P_8|KM_P_1|KM_P_10|KM_P_7|KM_P_9|KM_P_2|KM_P_3,2,4,4,2,2|3|1|4,4,4,3,3,1|3|4|2,6,6,5,5,3|2|1,5,5,5,PPI_8|PPI_7|PPI_5,5,6,6,1,2|1|3,3,2|7|9|4|3|5|6,1,"IOS|PPRMotive(adaptedReisetal.,2018)|SEPshortadapted Lewandowski&Ackerman,2006",KM_PA|KM_P|KM_P|KM_L|KM_CSR
1/20/2023 16:06,1/20/2023 16:13,0,129.215.52.7,100,455,1,1/20/2023 16:13,R_ZDCL8EckS63jhst,,,,,55.9335,-3.254,anonymous,EN,1,1,1,1,1,1,1,2107,1213,0,0,186.201,0,1,1,1,1,3,1,1,1,1,5,4,1,KM_P_6|KM_P_1|KM_P_2|KM_P_5|KM_P_9|KM_P_7|KM_P_11|KM_P_3|KM_P_12|KM_P_4|KM_P_8|KM_P_10,2,2,4,1,4|3|1|2,2,4,4,1,4|3|2|1,4,4,2,2,1|2|3,5,5,5,PPI_7|PPI_8|PPI_5,5,6,7,1,1|3|2,3,9|2|5|3|7|4|6,1,"PPRMotive(adaptedReisetal.,2018)|IOS|SEPshortadapted Lewandowski&Ackerman,2006",KM_P|KM_PA|KM_P|KM_CSR|KM_L
